batch_id,trial,warmup,system,config,phase,ticks,ns_since_e2,delta_ticks,delta_ns,source
20260818T013740Z-1,5,0,whimbrel,release-fast-boot,_start,236647,0,0,0,serial
20260818T013740Z-1,5,0,whimbrel,release-fast-boot,stamp_a,237103,45600,456,45600,serial
20260818T013740Z-1,5,0,whimbrel,release-fast-boot,stamp_b,237160,51300,57,5700,serial
20260818T013740Z-1,5,0,whimbrel,release-fast-boot,stvec,239758,311100,2598,259800,serial
20260818T013740Z-1,5,0,whimbrel,release-fast-boot,frame_init,241191,454400,1433,143300,serial
20260818T013740Z-1,5,0,whimbrel,release-fast-boot,task_init,247144,1049700,5953,595300,serial
20260818T013740Z-1,5,0,whimbrel,release-fast-boot,page_build,251139,1449200,3995,399500,serial
20260818T013740Z-1,5,0,whimbrel,release-fast-boot,page_verify,258645,2199800,7506,750600,serial
20260818T013740Z-1,5,0,whimbrel,release-fast-boot,activate,259579,2293200,934,93400,serial
20260818T013740Z-1,5,0,whimbrel,release-fast-boot,virtq_init,268105,3145800,8526,852600,serial
20260818T013740Z-1,5,0,whimbrel,release-fast-boot,DRIVER_OK,273563,3691600,5458,545800,serial
20260818T013740Z-1,5,0,whimbrel,release-fast-boot,first_rx,276695,4004800,3132,313200,serial
20260818T013740Z-1,5,0,whimbrel,release-fast-boot,syn_rx,279457,4281000,2762,276200,serial
20260818T013740Z-1,5,0,whimbrel,release-fast-boot,established,282108,4546100,2651,265100,serial
20260818T013740Z-1,5,0,whimbrel,release-fast-boot,serving_ready,285798,4915100,3690,369000,serial
20260818T013740Z-1,5,0,whimbrel,release-fast-boot,net_init_done,288659,5201200,2861,286100,serial
20260818T013740Z-1,5,0,whimbrel,release-fast-boot,heap_init,288883,5223600,224,22400,serial
20260818T013740Z-1,5,0,whimbrel,release-fast-boot,accounting,289143,5249600,260,26000,serial
20260818T013740Z-1,5,0,whimbrel,release-fast-boot,freeze,289267,5262000,124,12400,serial
20260818T013740Z-1,5,0,whimbrel,release-fast-boot,sret,289460,5281300,193,19300,serial
20260818T013740Z-1,5,0,whimbrel,release-fast-boot,E3g,302116,6546900,12656,1265600,serial
