# generated by scripts/linux-initcall-label.sh — D-0072
# Image-trimmed sha256=fe821d1d5fcc0c8d4474504c48d3024e0991c37ba74d40c675a0158b61e44fa2
# System.map sha256=3860b1aec2b3cd2ee5944b1831aeea8b12ad163525f38b19de24dab655ab8763 path=/home/victor/src/Whimbrel/bench/linux/build/linux-trimmed/System.map
# cmdline=console=ttyS0 loglevel=7 printk.time=1 initcall_debug ignore_loglevel rdinit=/init
# qemu=QEMU emulator version 10.2.1 (Debian 1:10.2.1+ds-1ubuntu3.2)
# serial=/home/victor/src/Whimbrel/results/serial/linux-trimmed-ignore-loglevel-20260818T084831Z.log
#
## Hole window (labels for gap 1), sorted by usecs

| rank | usecs | symbol | ret | printk_s |
| 254 | 12 | `init_tracepoints` | 0 | 0.127963 |
| 255 | 12 | `serport_init` | 0 | 0.366473 |
| 256 | 12 | `evdev_init` | 0 | 0.380695 |
| 257 | 12 | `udp_bpf_v4_build_proto` | 0 | 0.448648 |
| 258 | 11 | `bpf_event_init` | 0 | 0.104626 |
| 259 | 11 | `vlan_offload_init` | 0 | 0.127410 |
| 260 | 11 | `audit_fsnotify_init` | 0 | 0.127896 |
| 261 | 11 | `n_null_init` | 0 | 0.154564 |
| 262 | 11 | `efi_earlycon_unmap_fb` | 0 | 0.445629 |
| 263 | 10 | `bpf_init` | 0 | 0.104708 |
| 264 | 10 | `bpf_sockmap_iter_init` | 0 | 0.446860 |
| 265 | 9 | `init_ramfs_fs` | 0 | 0.105270 |
| 266 | 9 | `init_devpts_fs` | 0 | 0.132931 |
| 267 | 9 | `acpi_processor_driver_init` | 0 | 0.144006 |
| 268 | 9 | `blackhole_init` | 0 | 0.418822 |
| 269 | 9 | `gre_offload_init` | 0 | 0.419292 |
| 270 | 9 | `bpf_kprobe_multi_kfuncs_init` | 0 | 0.431298 |
| 271 | 9 | `bpf_prog_iter_init` | 0 | 0.433310 |
| 272 | 9 | `dmabuf_iter_init` | 0 | 0.434660 |
| 273 | 9 | `bpf_sk_storage_map_iter_init` | 0 | 0.447079 |
| 274 | 8 | `irq_pm_init_ops` | 0 | 0.127701 |
| 275 | 8 | `timekeeping_init_ops` | 0 | 0.127717 |
| 276 | 8 | `sched_clock_syscore_init` | 0 | 0.127819 |
| 277 | 8 | `bpf_link_iter_init` | 0 | 0.433528 |
| 278 | 8 | `rqspinlock_register_kfuncs` | 0 | 0.433750 |
| 279 | 8 | `sync_state_resume_initcall` | 0 | 0.437530 |
| 280 | 8 | `xdp_metadata_init` | 0 | 0.446633 |
| 281 | 7 | `kfunc_init` | 0 | 0.433967 |
| 282 | 7 | `efi_shutdown_init` | -19 | 0.445395 |
| 283 | 6 | `acpi_event_init` | 0 | 0.105573 |
| 284 | 5 | `register_kernel_offset_dumper` | 0 | 0.127659 |
| 285 | 5 | `acpi_battery_init` | -19 | 0.150740 |
| 286 | 5 | `net_failover_init` | 0 | 0.364462 |
| 287 | 5 | `hugetlb_vmemmap_init` | 0 | 0.435105 |
| 288 | 0 | `con_init` | 0 | 0.003866 |
| 289 | 0 | `hvc_console_init` | 0 | 0.003902 |
| 290 | 0 | `univ8250_console_init` | 0 | 0.004361 |
| 291 | 0 | `sifive_console_init` | 0 | 0.004446 |
| 292 | 0 | `compat_mode_detect` | 0 | 0.018385 |
| 293 | 0 | `asids_init` | 0 | 0.018534 |
| 294 | 0 | `spawn_ksoftirqd` | 0 | 0.018898 |
| 295 | 0 | `kthreads_init` | 0 | 0.018950 |
| 296 | 0 | `migration_init` | 0 | 0.018973 |
| 297 | 0 | `printk_set_kthreads_ready` | 0 | 0.019047 |
| 298 | 0 | `trace_init_flags_sys_exit` | 0 | 0.019063 |
| 299 | 0 | `trace_init_flags_sys_enter` | 0 | 0.019079 |
| 300 | 0 | `init_trace_printk` | 0 | 0.019120 |
| 301 | 0 | `event_trace_enable_again` | 0 | 0.019201 |
| 302 | 0 | `irq_work_init_threads` | 0 | 0.019215 |
| 303 | 0 | `jump_label_init_module` | 0 | 0.019231 |
| 304 | 0 | `init_zero_pfn` | 0 | 0.019274 |
| 305 | 0 | `efi_memreserve_root_init` | 0 | 0.019310 |
| 306 | 0 | `riscv_enable_runtime_services` | 0 | 0.019347 |
| 307 | 0 | `efi_earlycon_remap_fb` | 0 | 0.019367 |
